物件名,販売価格,所在地,専有面積,間取り
ハーモニーレジデンス千代田岩本町,5999万円,東京都千代田区岩本町１-5-10,40.68m2（12.30坪）,1LDK
カーサ神保町,5999万円,東京都千代田区神田神保町２,43.74m2,1LDK
ハイツ九段坂,6080万円,東京都千代田区九段南３-4-2,55.29m2（16.72坪）（壁芯）,2LDK
サンウッドフラッツ神田神保町,6130万円,東京都千代田区神田神保町２,30.19m2（壁芯）,1LDK
サンウッドフラッツ神田神保町,6180万円,東京都千代田区神田神保町２,30.19m2,1LDK
ライオンズマンション平河町,6880万円,東京都千代田区平河町２,46.71m2（壁芯）,1LDK
リヴシティ御茶ノ水,7180万円,東京都千代田区神田猿楽町２,42.7m2（壁芯）,1LDK
ジオ千代田大手町,7800万円,東京都千代田区内神田１,36.04m2（壁芯）,1DK
【ニュー九段マンション】内装リフォーム　３駅６路線利…,7998万円,東京都千代田区九段南４,59.95m2（18.13坪）,3LDK
ＣＯＮＯＥ一番町,8480万円,東京都千代田区一番町10-9,31.26m2（9.45坪）（壁芯）,1LDK
ローヤルシティ神田佐久間町,9199万円,東京都千代田区神田佐久間町３,57.38m2（壁芯）,2LDK
アーバンクリスタル九段下,9790万円,東京都千代田区神田神保町３,57.34m2（壁芯）,1LDK+S（納戸）
エクレール一番町,1億780万円,東京都千代田区一番町,64.13m2（壁芯）,1LDK
ヴィラフォンターナ千代田富士見,1億2480万円,東京都千代田区富士見１,56.84m2（壁芯）,2LDK
ガレリアドゥエル神田岩本町,1億2500万円,東京都千代田区岩本町２,54.46m2（壁芯）,2LDK
御茶ノ水ロイアルハイツ,1億3500万円,東京都千代田区神田猿楽町２-４－１１,89.39m2（27.04坪）（登記）,2LDK
ガレリアドゥエル神田岩本町,1億3900万円,東京都千代田区岩本町２,54.46m2（壁芯）,2LDK
アトラス千代田末広町,1億3980万円,東京都千代田区外神田６,56.47m2（壁芯）,2LDK
ウエリス千代田東神田,1億3980万円,東京都千代田区東神田２,68.88m2（壁芯）,3LDK
東京レジデンス,1億4380万円,東京都千代田区飯田橋２,51.13m2（壁芯）,1LDK+S（納戸）
クラッシィハウス大手町,1億4500万円,東京都千代田区内神田１,54.8m2（壁芯）,2LDK
NK麹町コータース,1億4989万円,東京都千代田区三番町,83.4m2（壁芯）,3LDK
東京パークタワー,1億5480万円,東京都千代田区神田神保町１,53.9m2（壁芯）,1LDK
ビラハイツ北の丸,1億6000万円,東京都千代田区九段南２-6-13,62.88m2（19.02坪）（壁芯）,1LDK+S（納戸）
ビラハイツ北の丸,1億6000万円,東京都千代田区九段南２,62.88m2（19.02坪）（壁芯）,1LDK+S（納戸）
東京レジデンス,1億7500万円,東京都千代田区飯田橋２,66.31m2,2LDK
東京タイムズタワー,1億8000万円,東京都千代田区外神田４,62.44m2（壁芯）,1LDK
プレミスト六番町,2億800万円,東京都千代田区六番町,56.02m2（壁芯）,1LDK
東京パークタワー,2億2500万円,東京都千代田区神田神保町１,72.66m2（壁芯）,2LDK
パレ・ロワイヤル永田町,2億7800万円,東京都千代田区永田町２,118.84m2（壁芯）,3LDK
ハーモニーレジデンス千代田岩本町,5999万円,東京都千代田区岩本町１-5-10,40.68m2（12.30坪）,1LDK
カーサ神保町,5999万円,東京都千代田区神田神保町２,43.74m2,1LDK
ハイツ九段坂,6080万円,東京都千代田区九段南３-4-2,55.29m2（16.72坪）（壁芯）,2LDK
サンウッドフラッツ神田神保町,6130万円,東京都千代田区神田神保町２,30.19m2（壁芯）,1LDK
サンウッドフラッツ神田神保町,6180万円,東京都千代田区神田神保町２,30.19m2,1LDK
ライオンズマンション平河町,6880万円,東京都千代田区平河町２,46.71m2（壁芯）,1LDK
リヴシティ御茶ノ水,7180万円,東京都千代田区神田猿楽町２,42.7m2（壁芯）,1LDK
ジオ千代田大手町,7800万円,東京都千代田区内神田１,36.04m2（壁芯）,1DK
【ニュー九段マンション】内装リフォーム　３駅６路線利…,7998万円,東京都千代田区九段南４,59.95m2（18.13坪）,3LDK
ＣＯＮＯＥ一番町,8480万円,東京都千代田区一番町10-9,31.26m2（9.45坪）（壁芯）,1LDK
ローヤルシティ神田佐久間町,9199万円,東京都千代田区神田佐久間町３,57.38m2（壁芯）,2LDK
アーバンクリスタル九段下,9790万円,東京都千代田区神田神保町３,57.34m2（壁芯）,1LDK+S（納戸）
エクレール一番町,1億780万円,東京都千代田区一番町,64.13m2（壁芯）,1LDK
ヴィラフォンターナ千代田富士見,1億2480万円,東京都千代田区富士見１,56.84m2（壁芯）,2LDK
ガレリアドゥエル神田岩本町,1億2500万円,東京都千代田区岩本町２,54.46m2（壁芯）,2LDK
御茶ノ水ロイアルハイツ,1億3500万円,東京都千代田区神田猿楽町２-４－１１,89.39m2（27.04坪）（登記）,2LDK
ガレリアドゥエル神田岩本町,1億3900万円,東京都千代田区岩本町２,54.46m2（壁芯）,2LDK
アトラス千代田末広町,1億3980万円,東京都千代田区外神田６,56.47m2（壁芯）,2LDK
ウエリス千代田東神田,1億3980万円,東京都千代田区東神田２,68.88m2（壁芯）,3LDK
東京レジデンス,1億4380万円,東京都千代田区飯田橋２,51.13m2（壁芯）,1LDK+S（納戸）
クラッシィハウス大手町,1億4500万円,東京都千代田区内神田１,54.8m2（壁芯）,2LDK
NK麹町コータース,1億4989万円,東京都千代田区三番町,83.4m2（壁芯）,3LDK
東京パークタワー,1億5480万円,東京都千代田区神田神保町１,53.9m2（壁芯）,1LDK
ビラハイツ北の丸,1億6000万円,東京都千代田区九段南２-6-13,62.88m2（19.02坪）（壁芯）,1LDK+S（納戸）
ビラハイツ北の丸,1億6000万円,東京都千代田区九段南２,62.88m2（19.02坪）（壁芯）,1LDK+S（納戸）
東京レジデンス,1億7500万円,東京都千代田区飯田橋２,66.31m2,2LDK
東京タイムズタワー,1億8000万円,東京都千代田区外神田４,62.44m2（壁芯）,1LDK
プレミスト六番町,2億800万円,東京都千代田区六番町,56.02m2（壁芯）,1LDK
東京パークタワー,2億2500万円,東京都千代田区神田神保町１,72.66m2（壁芯）,2LDK
パレ・ロワイヤル永田町,2億7800万円,東京都千代田区永田町２,118.84m2（壁芯）,3LDK
ハーモニーレジデンス千代田岩本町,5999万円,東京都千代田区岩本町１-5-10,40.68m2（12.30坪）,1LDK
カーサ神保町,5999万円,東京都千代田区神田神保町２,43.74m2,1LDK
ハイツ九段坂,6080万円,東京都千代田区九段南３-4-2,55.29m2（16.72坪）（壁芯）,2LDK
サンウッドフラッツ神田神保町,6130万円,東京都千代田区神田神保町２,30.19m2（壁芯）,1LDK
サンウッドフラッツ神田神保町,6180万円,東京都千代田区神田神保町２,30.19m2,1LDK
ライオンズマンション平河町,6880万円,東京都千代田区平河町２,46.71m2（壁芯）,1LDK
リヴシティ御茶ノ水,7180万円,東京都千代田区神田猿楽町２,42.7m2（壁芯）,1LDK
ジオ千代田大手町,7800万円,東京都千代田区内神田１,36.04m2（壁芯）,1DK
【ニュー九段マンション】内装リフォーム　３駅６路線利…,7998万円,東京都千代田区九段南４,59.95m2（18.13坪）,3LDK
ＣＯＮＯＥ一番町,8480万円,東京都千代田区一番町10-9,31.26m2（9.45坪）（壁芯）,1LDK
ローヤルシティ神田佐久間町,9199万円,東京都千代田区神田佐久間町３,57.38m2（壁芯）,2LDK
アーバンクリスタル九段下,9790万円,東京都千代田区神田神保町３,57.34m2（壁芯）,1LDK+S（納戸）
エクレール一番町,1億780万円,東京都千代田区一番町,64.13m2（壁芯）,1LDK
ヴィラフォンターナ千代田富士見,1億2480万円,東京都千代田区富士見１,56.84m2（壁芯）,2LDK
ガレリアドゥエル神田岩本町,1億2500万円,東京都千代田区岩本町２,54.46m2（壁芯）,2LDK
御茶ノ水ロイアルハイツ,1億3500万円,東京都千代田区神田猿楽町２-４－１１,89.39m2（27.04坪）（登記）,2LDK
ガレリアドゥエル神田岩本町,1億3900万円,東京都千代田区岩本町２,54.46m2（壁芯）,2LDK
アトラス千代田末広町,1億3980万円,東京都千代田区外神田６,56.47m2（壁芯）,2LDK
ウエリス千代田東神田,1億3980万円,東京都千代田区東神田２,68.88m2（壁芯）,3LDK
東京レジデンス,1億4380万円,東京都千代田区飯田橋２,51.13m2（壁芯）,1LDK+S（納戸）
クラッシィハウス大手町,1億4500万円,東京都千代田区内神田１,54.8m2（壁芯）,2LDK
NK麹町コータース,1億4989万円,東京都千代田区三番町,83.4m2（壁芯）,3LDK
東京パークタワー,1億5480万円,東京都千代田区神田神保町１,53.9m2（壁芯）,1LDK
ビラハイツ北の丸,1億6000万円,東京都千代田区九段南２-6-13,62.88m2（19.02坪）（壁芯）,1LDK+S（納戸）
ビラハイツ北の丸,1億6000万円,東京都千代田区九段南２,62.88m2（19.02坪）（壁芯）,1LDK+S（納戸）
東京レジデンス,1億7500万円,東京都千代田区飯田橋２,66.31m2,2LDK
東京タイムズタワー,1億8000万円,東京都千代田区外神田４,62.44m2（壁芯）,1LDK
プレミスト六番町,2億800万円,東京都千代田区六番町,56.02m2（壁芯）,1LDK
東京パークタワー,2億2500万円,東京都千代田区神田神保町１,72.66m2（壁芯）,2LDK
パレ・ロワイヤル永田町,2億7800万円,東京都千代田区永田町２,118.84m2（壁芯）,3LDK
ハーモニーレジデンス千代田岩本町,5999万円,東京都千代田区岩本町１-5-10,40.68m2（12.30坪）,1LDK
カーサ神保町,5999万円,東京都千代田区神田神保町２,43.74m2,1LDK
ハイツ九段坂,6080万円,東京都千代田区九段南３-4-2,55.29m2（16.72坪）（壁芯）,2LDK
サンウッドフラッツ神田神保町,6130万円,東京都千代田区神田神保町２,30.19m2（壁芯）,1LDK
サンウッドフラッツ神田神保町,6180万円,東京都千代田区神田神保町２,30.19m2,1LDK
ライオンズマンション平河町,6880万円,東京都千代田区平河町２,46.71m2（壁芯）,1LDK
リヴシティ御茶ノ水,7180万円,東京都千代田区神田猿楽町２,42.7m2（壁芯）,1LDK
ジオ千代田大手町,7800万円,東京都千代田区内神田１,36.04m2（壁芯）,1DK
【ニュー九段マンション】内装リフォーム　３駅６路線利…,7998万円,東京都千代田区九段南４,59.95m2（18.13坪）,3LDK
ＣＯＮＯＥ一番町,8480万円,東京都千代田区一番町10-9,31.26m2（9.45坪）（壁芯）,1LDK
ローヤルシティ神田佐久間町,9199万円,東京都千代田区神田佐久間町３,57.38m2（壁芯）,2LDK
アーバンクリスタル九段下,9790万円,東京都千代田区神田神保町３,57.34m2（壁芯）,1LDK+S（納戸）
エクレール一番町,1億780万円,東京都千代田区一番町,64.13m2（壁芯）,1LDK
ヴィラフォンターナ千代田富士見,1億2480万円,東京都千代田区富士見１,56.84m2（壁芯）,2LDK
ガレリアドゥエル神田岩本町,1億2500万円,東京都千代田区岩本町２,54.46m2（壁芯）,2LDK
御茶ノ水ロイアルハイツ,1億3500万円,東京都千代田区神田猿楽町２-４－１１,89.39m2（27.04坪）（登記）,2LDK
ガレリアドゥエル神田岩本町,1億3900万円,東京都千代田区岩本町２,54.46m2（壁芯）,2LDK
アトラス千代田末広町,1億3980万円,東京都千代田区外神田６,56.47m2（壁芯）,2LDK
ウエリス千代田東神田,1億3980万円,東京都千代田区東神田２,68.88m2（壁芯）,3LDK
東京レジデンス,1億4380万円,東京都千代田区飯田橋２,51.13m2（壁芯）,1LDK+S（納戸）
クラッシィハウス大手町,1億4500万円,東京都千代田区内神田１,54.8m2（壁芯）,2LDK
NK麹町コータース,1億4989万円,東京都千代田区三番町,83.4m2（壁芯）,3LDK
東京パークタワー,1億5480万円,東京都千代田区神田神保町１,53.9m2（壁芯）,1LDK
ビラハイツ北の丸,1億6000万円,東京都千代田区九段南２-6-13,62.88m2（19.02坪）（壁芯）,1LDK+S（納戸）
ビラハイツ北の丸,1億6000万円,東京都千代田区九段南２,62.88m2（19.02坪）（壁芯）,1LDK+S（納戸）
東京レジデンス,1億7500万円,東京都千代田区飯田橋２,66.31m2,2LDK
東京タイムズタワー,1億8000万円,東京都千代田区外神田４,62.44m2（壁芯）,1LDK
プレミスト六番町,2億800万円,東京都千代田区六番町,56.02m2（壁芯）,1LDK
東京パークタワー,2億2500万円,東京都千代田区神田神保町１,72.66m2（壁芯）,2LDK
パレ・ロワイヤル永田町,2億7800万円,東京都千代田区永田町２,118.84m2（壁芯）,3LDK
ハーモニーレジデンス千代田岩本町,5999万円,東京都千代田区岩本町１-5-10,40.68m2（12.30坪）,1LDK
カーサ神保町,5999万円,東京都千代田区神田神保町２,43.74m2,1LDK
ハイツ九段坂,6080万円,東京都千代田区九段南３-4-2,55.29m2（16.72坪）（壁芯）,2LDK
サンウッドフラッツ神田神保町,6130万円,東京都千代田区神田神保町２,30.19m2（壁芯）,1LDK
サンウッドフラッツ神田神保町,6180万円,東京都千代田区神田神保町２,30.19m2,1LDK
ライオンズマンション平河町,6880万円,東京都千代田区平河町２,46.71m2（壁芯）,1LDK
リヴシティ御茶ノ水,7180万円,東京都千代田区神田猿楽町２,42.7m2（壁芯）,1LDK
ジオ千代田大手町,7800万円,東京都千代田区内神田１,36.04m2（壁芯）,1DK
【ニュー九段マンション】内装リフォーム　３駅６路線利…,7998万円,東京都千代田区九段南４,59.95m2（18.13坪）,3LDK
ＣＯＮＯＥ一番町,8480万円,東京都千代田区一番町10-9,31.26m2（9.45坪）（壁芯）,1LDK
ローヤルシティ神田佐久間町,9199万円,東京都千代田区神田佐久間町３,57.38m2（壁芯）,2LDK
アーバンクリスタル九段下,9790万円,東京都千代田区神田神保町３,57.34m2（壁芯）,1LDK+S（納戸）
エクレール一番町,1億780万円,東京都千代田区一番町,64.13m2（壁芯）,1LDK
ヴィラフォンターナ千代田富士見,1億2480万円,東京都千代田区富士見１,56.84m2（壁芯）,2LDK
ガレリアドゥエル神田岩本町,1億2500万円,東京都千代田区岩本町２,54.46m2（壁芯）,2LDK
御茶ノ水ロイアルハイツ,1億3500万円,東京都千代田区神田猿楽町２-４－１１,89.39m2（27.04坪）（登記）,2LDK
ガレリアドゥエル神田岩本町,1億3900万円,東京都千代田区岩本町２,54.46m2（壁芯）,2LDK
アトラス千代田末広町,1億3980万円,東京都千代田区外神田６,56.47m2（壁芯）,2LDK
ウエリス千代田東神田,1億3980万円,東京都千代田区東神田２,68.88m2（壁芯）,3LDK
東京レジデンス,1億4380万円,東京都千代田区飯田橋２,51.13m2（壁芯）,1LDK+S（納戸）
クラッシィハウス大手町,1億4500万円,東京都千代田区内神田１,54.8m2（壁芯）,2LDK
NK麹町コータース,1億4989万円,東京都千代田区三番町,83.4m2（壁芯）,3LDK
東京パークタワー,1億5480万円,東京都千代田区神田神保町１,53.9m2（壁芯）,1LDK
ビラハイツ北の丸,1億6000万円,東京都千代田区九段南２-6-13,62.88m2（19.02坪）（壁芯）,1LDK+S（納戸）
ビラハイツ北の丸,1億6000万円,東京都千代田区九段南２,62.88m2（19.02坪）（壁芯）,1LDK+S（納戸）
東京レジデンス,1億7500万円,東京都千代田区飯田橋２,66.31m2,2LDK
東京タイムズタワー,1億8000万円,東京都千代田区外神田４,62.44m2（壁芯）,1LDK
プレミスト六番町,2億800万円,東京都千代田区六番町,56.02m2（壁芯）,1LDK
東京パークタワー,2億2500万円,東京都千代田区神田神保町１,72.66m2（壁芯）,2LDK
パレ・ロワイヤル永田町,2億7800万円,東京都千代田区永田町２,118.84m2（壁芯）,3LDK
ハーモニーレジデンス千代田岩本町,5999万円,東京都千代田区岩本町１-5-10,40.68m2（12.30坪）,1LDK
カーサ神保町,5999万円,東京都千代田区神田神保町２,43.74m2,1LDK
ハイツ九段坂,6080万円,東京都千代田区九段南３-4-2,55.29m2（16.72坪）（壁芯）,2LDK
サンウッドフラッツ神田神保町,6130万円,東京都千代田区神田神保町２,30.19m2（壁芯）,1LDK
サンウッドフラッツ神田神保町,6180万円,東京都千代田区神田神保町２,30.19m2,1LDK
ライオンズマンション平河町,6880万円,東京都千代田区平河町２,46.71m2（壁芯）,1LDK
リヴシティ御茶ノ水,7180万円,東京都千代田区神田猿楽町２,42.7m2（壁芯）,1LDK
ジオ千代田大手町,7800万円,東京都千代田区内神田１,36.04m2（壁芯）,1DK
【ニュー九段マンション】内装リフォーム　３駅６路線利…,7998万円,東京都千代田区九段南４,59.95m2（18.13坪）,3LDK
ＣＯＮＯＥ一番町,8480万円,東京都千代田区一番町10-9,31.26m2（9.45坪）（壁芯）,1LDK
ローヤルシティ神田佐久間町,9199万円,東京都千代田区神田佐久間町３,57.38m2（壁芯）,2LDK
アーバンクリスタル九段下,9790万円,東京都千代田区神田神保町３,57.34m2（壁芯）,1LDK+S（納戸）
エクレール一番町,1億780万円,東京都千代田区一番町,64.13m2（壁芯）,1LDK
ヴィラフォンターナ千代田富士見,1億2480万円,東京都千代田区富士見１,56.84m2（壁芯）,2LDK
ガレリアドゥエル神田岩本町,1億2500万円,東京都千代田区岩本町２,54.46m2（壁芯）,2LDK
御茶ノ水ロイアルハイツ,1億3500万円,東京都千代田区神田猿楽町２-４－１１,89.39m2（27.04坪）（登記）,2LDK
ガレリアドゥエル神田岩本町,1億3900万円,東京都千代田区岩本町２,54.46m2（壁芯）,2LDK
アトラス千代田末広町,1億3980万円,東京都千代田区外神田６,56.47m2（壁芯）,2LDK
ウエリス千代田東神田,1億3980万円,東京都千代田区東神田２,68.88m2（壁芯）,3LDK
東京レジデンス,1億4380万円,東京都千代田区飯田橋２,51.13m2（壁芯）,1LDK+S（納戸）
クラッシィハウス大手町,1億4500万円,東京都千代田区内神田１,54.8m2（壁芯）,2LDK
NK麹町コータース,1億4989万円,東京都千代田区三番町,83.4m2（壁芯）,3LDK
東京パークタワー,1億5480万円,東京都千代田区神田神保町１,53.9m2（壁芯）,1LDK
ビラハイツ北の丸,1億6000万円,東京都千代田区九段南２-6-13,62.88m2（19.02坪）（壁芯）,1LDK+S（納戸）
ビラハイツ北の丸,1億6000万円,東京都千代田区九段南２,62.88m2（19.02坪）（壁芯）,1LDK+S（納戸）
東京レジデンス,1億7500万円,東京都千代田区飯田橋２,66.31m2,2LDK
東京タイムズタワー,1億8000万円,東京都千代田区外神田４,62.44m2（壁芯）,1LDK
プレミスト六番町,2億800万円,東京都千代田区六番町,56.02m2（壁芯）,1LDK
東京パークタワー,2億2500万円,東京都千代田区神田神保町１,72.66m2（壁芯）,2LDK
パレ・ロワイヤル永田町,2億7800万円,東京都千代田区永田町２,118.84m2（壁芯）,3LDK
ハーモニーレジデンス千代田岩本町,5999万円,東京都千代田区岩本町１-5-10,40.68m2（12.30坪）,1LDK
カーサ神保町,5999万円,東京都千代田区神田神保町２,43.74m2,1LDK
ハイツ九段坂,6080万円,東京都千代田区九段南３-4-2,55.29m2（16.72坪）（壁芯）,2LDK
サンウッドフラッツ神田神保町,6130万円,東京都千代田区神田神保町２,30.19m2（壁芯）,1LDK
サンウッドフラッツ神田神保町,6180万円,東京都千代田区神田神保町２,30.19m2,1LDK
ライオンズマンション平河町,6880万円,東京都千代田区平河町２,46.71m2（壁芯）,1LDK
リヴシティ御茶ノ水,7180万円,東京都千代田区神田猿楽町２,42.7m2（壁芯）,1LDK
ジオ千代田大手町,7800万円,東京都千代田区内神田１,36.04m2（壁芯）,1DK
【ニュー九段マンション】内装リフォーム　３駅６路線利…,7998万円,東京都千代田区九段南４,59.95m2（18.13坪）,3LDK
ＣＯＮＯＥ一番町,8480万円,東京都千代田区一番町10-9,31.26m2（9.45坪）（壁芯）,1LDK
ローヤルシティ神田佐久間町,9199万円,東京都千代田区神田佐久間町３,57.38m2（壁芯）,2LDK
アーバンクリスタル九段下,9790万円,東京都千代田区神田神保町３,57.34m2（壁芯）,1LDK+S（納戸）
エクレール一番町,1億780万円,東京都千代田区一番町,64.13m2（壁芯）,1LDK
ヴィラフォンターナ千代田富士見,1億2480万円,東京都千代田区富士見１,56.84m2（壁芯）,2LDK
ガレリアドゥエル神田岩本町,1億2500万円,東京都千代田区岩本町２,54.46m2（壁芯）,2LDK
御茶ノ水ロイアルハイツ,1億3500万円,東京都千代田区神田猿楽町２-４－１１,89.39m2（27.04坪）（登記）,2LDK
ガレリアドゥエル神田岩本町,1億3900万円,東京都千代田区岩本町２,54.46m2（壁芯）,2LDK
アトラス千代田末広町,1億3980万円,東京都千代田区外神田６,56.47m2（壁芯）,2LDK
ウエリス千代田東神田,1億3980万円,東京都千代田区東神田２,68.88m2（壁芯）,3LDK
東京レジデンス,1億4380万円,東京都千代田区飯田橋２,51.13m2（壁芯）,1LDK+S（納戸）
クラッシィハウス大手町,1億4500万円,東京都千代田区内神田１,54.8m2（壁芯）,2LDK
NK麹町コータース,1億4989万円,東京都千代田区三番町,83.4m2（壁芯）,3LDK
東京パークタワー,1億5480万円,東京都千代田区神田神保町１,53.9m2（壁芯）,1LDK
ビラハイツ北の丸,1億6000万円,東京都千代田区九段南２-6-13,62.88m2（19.02坪）（壁芯）,1LDK+S（納戸）
ビラハイツ北の丸,1億6000万円,東京都千代田区九段南２,62.88m2（19.02坪）（壁芯）,1LDK+S（納戸）
東京レジデンス,1億7500万円,東京都千代田区飯田橋２,66.31m2,2LDK
東京タイムズタワー,1億8000万円,東京都千代田区外神田４,62.44m2（壁芯）,1LDK
プレミスト六番町,2億800万円,東京都千代田区六番町,56.02m2（壁芯）,1LDK
東京パークタワー,2億2500万円,東京都千代田区神田神保町１,72.66m2（壁芯）,2LDK
パレ・ロワイヤル永田町,2億7800万円,東京都千代田区永田町２,118.84m2（壁芯）,3LDK
ハーモニーレジデンス千代田岩本町,5999万円,東京都千代田区岩本町１-5-10,40.68m2（12.30坪）,1LDK
カーサ神保町,5999万円,東京都千代田区神田神保町２,43.74m2,1LDK
ハイツ九段坂,6080万円,東京都千代田区九段南３-4-2,55.29m2（16.72坪）（壁芯）,2LDK
サンウッドフラッツ神田神保町,6130万円,東京都千代田区神田神保町２,30.19m2（壁芯）,1LDK
サンウッドフラッツ神田神保町,6180万円,東京都千代田区神田神保町２,30.19m2,1LDK
ライオンズマンション平河町,6880万円,東京都千代田区平河町２,46.71m2（壁芯）,1LDK
リヴシティ御茶ノ水,7180万円,東京都千代田区神田猿楽町２,42.7m2（壁芯）,1LDK
ジオ千代田大手町,7800万円,東京都千代田区内神田１,36.04m2（壁芯）,1DK
【ニュー九段マンション】内装リフォーム　３駅６路線利…,7998万円,東京都千代田区九段南４,59.95m2（18.13坪）,3LDK
ＣＯＮＯＥ一番町,8480万円,東京都千代田区一番町10-9,31.26m2（9.45坪）（壁芯）,1LDK
ローヤルシティ神田佐久間町,9199万円,東京都千代田区神田佐久間町３,57.38m2（壁芯）,2LDK
アーバンクリスタル九段下,9790万円,東京都千代田区神田神保町３,57.34m2（壁芯）,1LDK+S（納戸）
エクレール一番町,1億780万円,東京都千代田区一番町,64.13m2（壁芯）,1LDK
ヴィラフォンターナ千代田富士見,1億2480万円,東京都千代田区富士見１,56.84m2（壁芯）,2LDK
ガレリアドゥエル神田岩本町,1億2500万円,東京都千代田区岩本町２,54.46m2（壁芯）,2LDK
御茶ノ水ロイアルハイツ,1億3500万円,東京都千代田区神田猿楽町２-４－１１,89.39m2（27.04坪）（登記）,2LDK
ガレリアドゥエル神田岩本町,1億3900万円,東京都千代田区岩本町２,54.46m2（壁芯）,2LDK
アトラス千代田末広町,1億3980万円,東京都千代田区外神田６,56.47m2（壁芯）,2LDK
ウエリス千代田東神田,1億3980万円,東京都千代田区東神田２,68.88m2（壁芯）,3LDK
東京レジデンス,1億4380万円,東京都千代田区飯田橋２,51.13m2（壁芯）,1LDK+S（納戸）
クラッシィハウス大手町,1億4500万円,東京都千代田区内神田１,54.8m2（壁芯）,2LDK
NK麹町コータース,1億4989万円,東京都千代田区三番町,83.4m2（壁芯）,3LDK
東京パークタワー,1億5480万円,東京都千代田区神田神保町１,53.9m2（壁芯）,1LDK
ビラハイツ北の丸,1億6000万円,東京都千代田区九段南２-6-13,62.88m2（19.02坪）（壁芯）,1LDK+S（納戸）
ビラハイツ北の丸,1億6000万円,東京都千代田区九段南２,62.88m2（19.02坪）（壁芯）,1LDK+S（納戸）
東京レジデンス,1億7500万円,東京都千代田区飯田橋２,66.31m2,2LDK
東京タイムズタワー,1億8000万円,東京都千代田区外神田４,62.44m2（壁芯）,1LDK
プレミスト六番町,2億800万円,東京都千代田区六番町,56.02m2（壁芯）,1LDK
東京パークタワー,2億2500万円,東京都千代田区神田神保町１,72.66m2（壁芯）,2LDK
パレ・ロワイヤル永田町,2億7800万円,東京都千代田区永田町２,118.84m2（壁芯）,3LDK
ハーモニーレジデンス千代田岩本町,5999万円,東京都千代田区岩本町１-5-10,40.68m2（12.30坪）,1LDK
カーサ神保町,5999万円,東京都千代田区神田神保町２,43.74m2,1LDK
ハイツ九段坂,6080万円,東京都千代田区九段南３-4-2,55.29m2（16.72坪）（壁芯）,2LDK
サンウッドフラッツ神田神保町,6130万円,東京都千代田区神田神保町２,30.19m2（壁芯）,1LDK
サンウッドフラッツ神田神保町,6180万円,東京都千代田区神田神保町２,30.19m2,1LDK
ライオンズマンション平河町,6880万円,東京都千代田区平河町２,46.71m2（壁芯）,1LDK
リヴシティ御茶ノ水,7180万円,東京都千代田区神田猿楽町２,42.7m2（壁芯）,1LDK
ジオ千代田大手町,7800万円,東京都千代田区内神田１,36.04m2（壁芯）,1DK
【ニュー九段マンション】内装リフォーム　３駅６路線利…,7998万円,東京都千代田区九段南４,59.95m2（18.13坪）,3LDK
ＣＯＮＯＥ一番町,8480万円,東京都千代田区一番町10-9,31.26m2（9.45坪）（壁芯）,1LDK
ローヤルシティ神田佐久間町,9199万円,東京都千代田区神田佐久間町３,57.38m2（壁芯）,2LDK
アーバンクリスタル九段下,9790万円,東京都千代田区神田神保町３,57.34m2（壁芯）,1LDK+S（納戸）
エクレール一番町,1億780万円,東京都千代田区一番町,64.13m2（壁芯）,1LDK
ヴィラフォンターナ千代田富士見,1億2480万円,東京都千代田区富士見１,56.84m2（壁芯）,2LDK
ガレリアドゥエル神田岩本町,1億2500万円,東京都千代田区岩本町２,54.46m2（壁芯）,2LDK
御茶ノ水ロイアルハイツ,1億3500万円,東京都千代田区神田猿楽町２-４－１１,89.39m2（27.04坪）（登記）,2LDK
ガレリアドゥエル神田岩本町,1億3900万円,東京都千代田区岩本町２,54.46m2（壁芯）,2LDK
アトラス千代田末広町,1億3980万円,東京都千代田区外神田６,56.47m2（壁芯）,2LDK
ウエリス千代田東神田,1億3980万円,東京都千代田区東神田２,68.88m2（壁芯）,3LDK
東京レジデンス,1億4380万円,東京都千代田区飯田橋２,51.13m2（壁芯）,1LDK+S（納戸）
クラッシィハウス大手町,1億4500万円,東京都千代田区内神田１,54.8m2（壁芯）,2LDK
NK麹町コータース,1億4989万円,東京都千代田区三番町,83.4m2（壁芯）,3LDK
東京パークタワー,1億5480万円,東京都千代田区神田神保町１,53.9m2（壁芯）,1LDK
ビラハイツ北の丸,1億6000万円,東京都千代田区九段南２-6-13,62.88m2（19.02坪）（壁芯）,1LDK+S（納戸）
ビラハイツ北の丸,1億6000万円,東京都千代田区九段南２,62.88m2（19.02坪）（壁芯）,1LDK+S（納戸）
東京レジデンス,1億7500万円,東京都千代田区飯田橋２,66.31m2,2LDK
東京タイムズタワー,1億8000万円,東京都千代田区外神田４,62.44m2（壁芯）,1LDK
プレミスト六番町,2億800万円,東京都千代田区六番町,56.02m2（壁芯）,1LDK
東京パークタワー,2億2500万円,東京都千代田区神田神保町１,72.66m2（壁芯）,2LDK
パレ・ロワイヤル永田町,2億7800万円,東京都千代田区永田町２,118.84m2（壁芯）,3LDK
ハーモニーレジデンス千代田岩本町,5999万円,東京都千代田区岩本町１-5-10,40.68m2（12.30坪）,1LDK
カーサ神保町,5999万円,東京都千代田区神田神保町２,43.74m2,1LDK
ハイツ九段坂,6080万円,東京都千代田区九段南３-4-2,55.29m2（16.72坪）（壁芯）,2LDK
